ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789361338.393349781 43376 95613 417 894 798 800
1789361340.418280894 43378 95617 417 894 785 3400
1789361342.445979793 43380 95622 417 894 798 800
1789361344.472273822 43380 95622 417 894 797 3100
1789361346.498200907 43381 95624 417 894 779 799
1789361348.523635573 43382 95626 417 894 798 3100
1789361350.551851421 43383 95628 417 894 800 800
1789361352.580117066 43383 95628 417 894 1345 3100
1789361354.608458837 43385 95632 417 894 1292 800
1789361356.637572745 43389 95641 417 894 1994 3322
1789361358.662818265 43389 95641 417 894 1830 3399
1789361360.690825476 43394 95650 417 894 798 800
1789361362.718048450 43405 95671 417 894 800 3178
1789361364.746540056 43405 95671 417 894 797 3371
1789361366.771112087 43405 95671 417 894 800 800
1789361368.794097538 43411 95682 417 894 798 800
1789361370.821333587 43413 95687 417 894 3124 800
1789361372.849403501 43415 95691 417 894 1092 800
1789361374.876982678 43415 95691 417 894 799 800
1789361376.904099365 43415 95691 417 894 752 800
1789361378.933668191 43415 95691 417 894 800 800
1789361380.957710172 43415 95691 417 894 1057 800
1789361382.980677127 43415 95691 417 894 869 800
1789361385.008236883 43415 95691 417 894 803 800
1789361387.037502942 43415 95691 417 894 799 800
1789361389.063573154 43415 95691 417 894 798 800
1789361391.090258389 43415 95691 417 894 2328 800
1789361393.119100461 43415 95691 417 894 1169 799
1789361395.145790171 43415 95691 417 894 797 800
1789361397.170706945 43415 95691 417 894 1964 800
1789361399.193596831 43415 95691 417 894 800 3399
1789361401.218037612 43415 95691 417 894 800 800
1789361403.243588274 43415 95691 417 894 793 3100
1789361405.269666463 43415 95691 417 894 799 3100
1789361407.293071360 43415 95691 417 894 901 800
1789361409.321225554 43415 95691 417 894 797 800
1789361411.350296023 43415 95691 417 894 760 800
1789361413.374063310 43415 95691 417 894 798 800
1789361415.401167465 43416 95693 417 894 800 2080
1789361417.424413212 43417 95695 417 894 799 800
1789361419.447975320 43420 95702 417 894 800 800
1789361421.474362214 43422 95705 417 894 765 3399
1789361423.500679274 43426 95715 417 894 1790 2468
1789361425.526035512 43431 95724 417 894 800 800
1789361427.552142272 43431 95724 417 894 800 800
1789361429.577638310 43433 95727 417 894 799 800
1789361431.602378221 43435 95731 417 894 1764 1642
1789361433.631220583 43435 95731 417 894 796 800
1789361435.654871089 43436 95733 417 894 2500 800
1789361437.682448580 43438 95736 417 894 800 800
1789361439.708236640 43441 95742 417 894 800 3100
1789361441.736784568 43441 95742 417 894 754 800
1789361443.764202480 43442 95744 417 894 3978 800
1789361445.787689577 43444 95749 417 894 799 800
1789361447.813386965 43444 95749 417 894 798 800
1789361449.837450058 43444 95749 417 894 2769 800
1789361451.862247419 43446 95753 417 894 917 800
1789361453.888491166 43447 95755 417 894 798 800
1789361455.917857179 43448 95757 417 894 799 800
1789361457.942043899 43448 95757 417 894 895 800
1789361459.969309703 43448 95757 417 894 798 800
1789361461.994023605 43448 95757 417 894 846 800
1789361464.023682154 43450 95760 417 894 796 800
1789361466.051711994 43450 95760 417 894 1180 800
1789361468.074574520 43450 95760 417 894 959 800
1789361470.100888967 43450 95760 417 894 768 800
1789361472.129195723 43450 95760 417 894 799 800
1789361474.158219957 43450 95760 417 894 798 1051
1789361476.182681527 43450 95760 417 894 798 800
1789361478.204563997 43450 95760 417 894 777 800
1789361480.231115630 43450 95760 417 894 2096 800
1789361482.255786854 43450 95760 417 894 3414 800
1789361484.283969612 43450 95760 417 894 1400 3100
1789361486.309959183 43450 95760 417 894 2998 3100
1789361488.339868811 43450 95760 417 894 799 800
1789361490.364490592 43450 95760 417 894 785 800
1789361492.392890407 43450 95760 417 894 794 800
1789361494.421943632 43450 95760 417 894 793 800
1789361496.444194177 43450 95760 417 894 2578 802
1789361498.463719480 43450 95760 417 894 2692 800
1789361500.489776226 43450 95760 417 894 799 800
1789361502.516165384 43450 95760 417 894 795 800
1789361504.545291424 43450 95760 417 894 800 800
1789361506.573715279 43450 95760 417 894 777 800
1789361508.600822139 43450 95760 417 894 1639 800
1789361510.630353684 43450 95760 417 894 1101 800
1789361512.654925504 43451 95762 417 894 1392 800
1789361514.679588591 43451 95762 417 894 1894 800
